java.net.sf.jsqlparser.util.AddAliasesVisitor,2,0,0
java.net.sf.jsqlparser.expression.OracleHierarchicalExpression,1,0,0
java.net.sf.jsqlparser.expression.operators.relational.InExpression,4,0,0
java.net.sf.jsqlparser.JSQLParserException,1,0,0
java.net.sf.jsqlparser.statement.update.Update,5,0,0
java.net.sf.jsqlparser.util.deparser.InsertDeParser,2,0,0
java.net.sf.jsqlparser.expression.SignedExpression,2,0,0
java.net.sf.jsqlparser.statement.select.Top,2,0,0
java.net.sf.jsqlparser.util.deparser.CreateIndexDeParser,1,0,0
java.net.sf.jsqlparser.statement.select.Distinct,2,0,0
java.net.sf.jsqlparser.statement.drop.Drop,2,0,0
java.net.sf.jsqlparser.schema.Database,3,0,0
java.net.sf.jsqlparser.statement.select.ValuesList,1,0,0
java.net.sf.jsqlparser.expression.operators.relational.LikeExpression,1,0,0
java.net.sf.jsqlparser.statement.select.SelectExpressionItem,1,0,0
java.net.sf.jsqlparser.statement.create.table.ForeignKeyIndex,1,0,0
java.net.sf.jsqlparser.statement.alter.Alter,1,0,0
java.net.sf.jsqlparser.statement.select.SubJoin,1,0,0
java.net.sf.jsqlparser.expression.ExpressionVisitorAdapter,6,0,0
java.net.sf.jsqlparser.statement.select.WithItem,2,0,0
java.net.sf.jsqlparser.statement.create.index.CreateIndex,1,0,0
java.net.sf.jsqlparser.statement.insert.Insert,2,0,0
java.net.sf.jsqlparser.statement.select.Skip,3,0,0
java.net.sf.jsqlparser.util.deparser.SelectDeParser,25,0,0
java.net.sf.jsqlparser.expression.RowConstructor,1,0,0
java.net.sf.jsqlparser.util.deparser.StatementDeParser,1,0,0
java.net.sf.jsqlparser.statement.create.table.ColumnDefinition,1,0,0
java.net.sf.jsqlparser.statement.select.Pivot,1,1,0
java.net.sf.jsqlparser.util.deparser.UpdateDeParser,5,0,0
java.net.sf.jsqlparser.util.deparser.ExpressionDeParser,10,0,0
java.net.sf.jsqlparser.expression.WindowElement,1,0,0
java.net.sf.jsqlparser.statement.select.PivotXml,1,1,0
java.net.sf.jsqlparser.expression.KeepExpression,2,1,0
java.net.sf.jsqlparser.statement.create.table.Index,1,0,0
java.net.sf.jsqlparser.expression.StringValue,3,0,0
java.net.sf.jsqlparser.statement.select.Select,1,0,0
java.net.sf.jsqlparser.expression.WindowOffset,1,0,0
java.net.sf.jsqlparser.statement.create.table.NamedConstraint,1,0,0
java.net.sf.jsqlparser.statement.select.SetOperationList,5,0,0
java.net.sf.jsqlparser.expression.operators.relational.OldOracleJoinBinaryExpression,6,1,0
java.net.sf.jsqlparser.expression.operators.relational.Between,1,0,0
java.net.sf.jsqlparser.statement.select.LateralSubSelect,1,0,0
java.net.sf.jsqlparser.util.deparser.CreateTableDeParser,3,0,0
java.net.sf.jsqlparser.schema.Column,1,0,0
java.net.sf.jsqlparser.statement.create.table.CreateTable,7,0,0
java.net.sf.jsqlparser.statement.select.FunctionItem,1,0,0
java.net.sf.jsqlparser.statement.select.Join,5,0,0
java.net.sf.jsqlparser.util.TablesNamesFinder,10,0,0
java.net.sf.jsqlparser.statement.select.First,3,0,0
java.net.sf.jsqlparser.expression.Function,3,0,0
java.net.sf.jsqlparser.statement.select.OrderByElement,1,0,0
java.net.sf.jsqlparser.statement.select.Limit,3,0,0
java.net.sf.jsqlparser.expression.operators.relational.MultiExpressionList,1,0,0
java.net.sf.jsqlparser.statement.select.ExpressionListItem,1,0,0
java.net.sf.jsqlparser.statement.create.table.ColDataType,3,0,0
java.net.sf.jsqlparser.schema.Server,7,0,0
java.net.sf.jsqlparser.statement.replace.Replace,4,0,0
java.net.sf.jsqlparser.expression.WithinGroupExpression,1,0,0
java.net.sf.jsqlparser.util.SelectUtils,2,0,0
java.net.sf.jsqlparser.expression.MySQLGroupConcat,2,1,0
java.net.sf.jsqlparser.statement.select.PlainSelect,14,0,0
java.net.sf.jsqlparser.expression.CaseExpression,1,0,0
java.net.sf.jsqlparser.expression.operators.relational.NotEqualsTo,1,0,0
java.net.sf.jsqlparser.schema.Table,7,0,0
java.net.sf.jsqlparser.util.deparser.ReplaceDeParser,5,0,0
java.net.sf.jsqlparser.expression.BinaryExpression,1,0,0
java.net.sf.jsqlparser.expression.AnalyticExpression,7,0,0
java.net.sf.jsqlparser.util.ConnectExpressionsVisitor,2,0,0
java.net.sf.jsqlparser.statement.select.SubSelect,2,0,0
,,,
,213,5,0
